Prompt,Answer,Normal,Normal Correct,Polite,Polite Correct,Rude,Rude Correct
"A streaming service allows offline downloads only if the user has a premium subscription and is using a registered device; if the user has premium but uses an unregistered device, can they download content?",No,No.,1,No.,1,No.,1
"A university grants honors designation only if a student has at least a 3.7 GPA and completes a thesis project; if a student completes a thesis but has a 3.6 GPA, do they receive honors?",No,No,1,No,1,No,1
"A car rental company provides unlimited mileage only if the rental is for three or more days or the customer purchases a mileage package; if someone rents for two days without the package, do they get unlimited mileage?",No,No,1,No.,1,No.,1
"A conference provides lunch only if attendees pre-register or pay for the meal add-on at check-in; if someone neither pre-registers nor pays at check-in, do they receive lunch?",No,No.,1,No.,1,No.,1
"A scholarship is awarded only if applicants submit all required documents and meet the income threshold; if documents are complete but income exceeds the threshold, is it awarded?",No,No.,1,No.,1,No.,1
"A parking garage offers validation only if a purchase exceeds $25 and the receipt is presented; if a purchase is $30 but no receipt is shown, is validation granted?",No,No,1,No.,1,No.,1
"A company allows expense reimbursement only if receipts are submitted within 30 days and expenses are work-related; if receipts are late, is reimbursement approved?",No,No.,1,No.,1,No.,1
"A ride-sharing driver receives a bonus only if they complete 50 rides in a week and maintain a 4.8 rating; if they complete 55 rides but have a 4.7 rating, do they receive the bonus?",No,No,1,No,1,No,1
"A hotel upgrades guests only if rooms are available and the guest is a loyalty member; if rooms are available but the guest is not a member, is an upgrade given?",No,No.,1,No.,1,No.,1
"A college course allows pass/fail grading only if students declare it before the deadline and are not majoring in the subject; if a major declares before the deadline, can they choose pass/fail?",No,No.,1,No.,1,No.,1
"A delivery company offers refunds only if packages are lost or arrive damaged; if a package arrives late but undamaged, is a refund issued?",No,No.,1,No.,1,No.,1
"A credit card offers cashback only if purchases are made in specific categories and the account is in good standing; if the account is delinquent, is cashback awarded?",No,No,1,No.,1,No.,1
"A museum grants free admission only if visitors are under 12 or over 65; if a visitor is 64 years old, do they qualify for free admission?",No,No,1,No,1,No.,1
"A gym class requires registration only if attendance exceeds 20 participants; if attendance is 18, is registration required?",No,No,1,No.,1,No.,1
"A software update installs automatically only if auto-update is enabled and sufficient storage is available; if storage is insufficient, does it install automatically?",No,No.,1,No.,1,No.,1
"A bus pass is transferable only if it is unused and signed by the original purchaser; if it has been used once, can it be transferred?",No,No.,1,No.,1,No.,1
"A retailer accepts returns only if items are unused and returned within 14 days; if an unused item is returned after 20 days, is it accepted?",No,No.,1,No.,1,No.,1
"A library issues a replacement card only if identification is presented and the replacement fee is paid; if ID is missing, is a replacement issued?",No,No,1,No.,1,No.,1
"A company grants overtime pay only if employees work more than 40 hours and receive supervisor approval; if 45 hours are worked without approval, is overtime granted?",No,No,1,No.,1,No.,1
"A restaurant provides a birthday dessert only if proof of birthdate is shown and a meal is purchased; if proof is not shown, is dessert provided?",No,No.,1,No.,1,No.,1
"A university allows course overload only if GPA exceeds 3.5 or special permission is granted; if GPA is 3.4 without permission, is overload allowed?",No,No,1,No,1,No,1
"A sports league allows substitutions only if the referee is notified and play has stopped; if play continues, is substitution allowed?",No,No.,1,No.,1,No.,1
"A phone warranty is valid only if the device is registered and damage is not due to misuse; if damage is due to misuse, is it covered?",No,No.,1,No.,1,No.,1
"A transit system offers senior discounts only if riders are 65 or older and show identification; if a rider is 66 but shows no ID, is the discount applied?",No,No.,1,No.,1,No.,1
"A contest entry is accepted only if submitted before midnight and includes all required fields; if submitted at 12:05 AM, is it accepted?",No,No,1,No,1,No.,1
"A workspace grants 24-hour access only if members upgrade to the premium tier; if a standard member requests late access, is it granted?",No,No.,1,No.,1,No.,1
"A tutoring program offers free sessions only if family income qualifies and enrollment forms are complete; if forms are incomplete, are sessions free?",No,No.,1,No.,1,No.,1
"A library study room can be reserved only if no outstanding fines exist and a valid card is on file; if fines are unpaid, can it be reserved?",No,No.,1,No.,1,No.,1
,,,,,,,
Total Right,,,44,,44,,45
Accuracy ,,,0.88,,0.88,,0.9
