Prompt,Answer,Normal,Normal Correct,Normal Accurate,NA Correct,Normal Fast,NF Correct
A bus arrives at 3:15 PM and is delayed by 20 minutes; what is the new arrival time?,3:35 PM,3:35 PM,1,3:35 PM,1,3:35 PM,1
A printer produces 40 pages per minute and increases speed by 10 pages per minute; what is the new speed?,50,50 minutes.,1,50 minutes.,1,50 minutes.,1
A subscription costs $25 per month and increases by $3; what is the new monthly cost?,$28,28,1,28,1,28,1
A train trip takes 2 hours and is extended by 45 minutes; what is the total travel time?,2 hours 45 minutes,2.75 hours,1,2 hours 27 minutes.,0,2.75,1
A phone battery lasts 10 hours and decreases by 2 hours over time; how long does it last now?,8 hours,8,1,8,1,8,1
A warehouse ships 300 boxes per day and increases output by 150 boxes; what is the new daily output?,450,450,1,450,1,450,1
A class lasts 60 minutes and is shortened by 15 minutes; how long is the new class duration?,45 minutes,45 minutes.,1,45 minutes.,1,45 minutes.,1
A ticket price of $75 is reduced by $20; what is the final price?,$55,55,1,55,1,55,1
A cyclist rides 22 mph and slows by 4 mph uphill; what is the uphill speed?,18 mph,18 mph,1,18,1,18 mph.,1
A meeting starts at 1:40 PM and is postponed by 25 minutes; what is the new start time?,2:05 PM,2:05 PM,1,2:05 PM.,1,2:05 PM.,1
A worker completes a project in 6 hours but finishes 1 hour early; how long did it take?,5 hours,5,1,5,1,5,1
A caf̩ sells 200 cups daily and sells 50 more cups during promotions; how many cups are sold during promotions?,250,150,0,50,0,50,0
A delivery normally takes 7 days and is expedited by 2 days; how many days does it take now?,5 days,5,1,5,1,5,1
A subscription includes 15 GB of data and adds 5 GB bonus; what is the total data allowance?,20 GB,20 GB,1,20 GB.,1,20 GB,1
A concert begins at 7:00 PM and is delayed by 50 minutes; what time does it start?,7:50 PM,8:10 PM,0,7:10 PM,0,6:10 PM,0
"A factory makes 1,000 units weekly and reduces production by 200 units; what is the new weekly production?",800,800,1,800,1,800,1
A bus fare of $2.50 increases by $0.75; what is the new fare?,$3.25,3.25,1,3.25,1,3.25,1
A laptop costs $900 and receives a $150 discount; what is the sale price?,$750,750,1,750,1,750,1
A worker logs 35 hours and works 8 additional overtime hours; how many total hours were worked?,43 hours,43,1,43,1,43,1
A movie runtime is 95 minutes and adds 20 minutes of bonus footage; what is the total runtime?,115 minutes,115 minutes.,1,115 minutes.,1,115 minutes.,1
A store closes at 10:00 PM but closes 40 minutes earlier due to maintenance; what time does it close?,9:20 PM,9:20 PM,1,9:20 PM,1,9:20 PM,1
A plane departs at 6:10 AM and is delayed by 55 minutes; what is the new departure time?,7:05 AM,7:05 AM,1,7:05 AM.,1,7:05 AM,1
A book costs $30 and tax adds $2; what is the total cost?,$32,32,1,32,1,32,1
A shift begins at 9:00 AM and is extended by 2 hours; what time does it end if it was originally 8 hours long?,7:00 PM,11:00 PM,0,11:00 AM.,0,11:00 AM.,0
A gym membership costs $60 and increases by 10%; what is the new cost?,$66,66,1,66,1,66,1
A train ride takes 4 hours and is shortened by 30 minutes; what is the new duration?,3.5 hours,3.5,1,3.5,1,3.5,1
A store sells 500 items and restocks 120 more; how many items are available now?,620,620,1,620,1,620,1
A payment of $400 is reduced by a $75 credit; what is the remaining balance?,$325,325,1,325,1,325,1
"A bank account balance was 240. It increased by 35, and then decreased by 12. What is the final balance?",263,223,0,223,0,226.8,0
"A temperature reading was 68. It decreased by 15, and then increased by 9. What is the final temperature?",62,61.5,0,61.5,0,61.5,0
"A game score was 150. It increased by 25, and then increased again by 30. What is the final score?",205,205,1,205,1,205,1
"An elevation was 420. It decreased by 50, and then decreased again by 20. What is the final elevation?",350,370,0,370,0,370,0
"An inventory count was 95. It increased by 40, and then decreased by 18. What is the final count?",117,117,1,117,1,117,1
"A battery level was 80. It decreased by 22, and then increased by 10. What is the final level?",68,68,1,68,1,68,1
"A population count was 1200. It increased by 150, and then decreased by 75. What is the final population?",1275,1275,1,1275,1,1275,1
"A distance reading was 560. It decreased by 60, and then increased by 25. What is the final reading?",525,525,1,525,1,525,1
"A bank account balance was 310. It increased by 45, and then decreased by 30. What is the final balance?",325,325,1,325,1,325,1
"A temperature reading was 72. It increased by 8, and then decreased by 19. What is the final temperature?",61,61,1,63,0,63,0
"A game score was 200. It decreased by 35, and then increased by 50. What is the final score?",215,215,1,215,1,215,1
"An elevation was 980. It decreased by 120, and then increased by 40. What is the final elevation?",900,920,0,920,0,920,0
"An inventory count was 430. It increased by 75, and then decreased by 55. What is the final count?",450,350,0,410,0,450,1
"A battery level was 55. It increased by 20, and then decreased by 18. What is the final level?",57,37,0,37,0,57,1
"A population count was 5400. It decreased by 600, and then increased by 250. What is the final population?",5050,4950,0,5050,1,5050,1
"A distance reading was 890. It increased by 110, and then decreased by 45. What is the final reading?",955,845,0,845,0,745,0
"A bank account balance was 670. It decreased by 90, and then increased by 60. What is the final balance?",640,640,1,640,1,640,1
"A temperature reading was 40. It decreased by 12, and then decreased by 8. What is the final temperature?",20,28,0,28,0,28,0
"A game score was 320. It increased by 40, and then decreased by 15. What is the final score?",345,345,1,345,1,345,1
"An elevation was 1500. It increased by 200, and then decreased by 175. What is the final elevation?",1525,1225,0,1225,0,1225,0
"An inventory count was 780. It decreased by 95, and then increased by 60. What is the final count?",745,745,1,745,1,745,1
"A battery level was 100. It decreased by 30, and then decreased by 25. What is the final level?",45,45,1,45%,1,45,1
"A population count was 9800. It increased by 400, and then increased by 300. What is the final population?",10500,11000,0,10400,0,10400,0
"A distance reading was 250. It decreased by 40, and then increased by 70. What is the final reading?",280,280,1,280,1,280,1
"A bank account balance was 150. It increased by 55, and then decreased by 20. What is the final balance?",185,135,0,125,0,125,0
"A temperature reading was 90. It decreased by 35, and then increased by 18. What is the final temperature?",73,73,1,73,1,73,1
"A game score was 410. It increased by 60, and then increased by 25. What is the final score?",495,495,1,495,1,495,1
"An elevation was 870. It decreased by 45, and then decreased by 55. What is the final elevation?",770,770,1,830,0,826,0
"An inventory count was 300. It increased by 90, and then decreased by 40. What is the final count?",350,250,0,250,0,250,0
"A battery level was 65. It decreased by 20, and then increased by 15. What is the final level?",60,60,1,60,1,60,1
"A population count was 2200. It increased by 180, and then decreased by 120. What is the final population?",2260,1900,0,1900,0,1900,0
"A distance reading was 470. It decreased by 70, and then increased by 35. What is the final reading?",435,435,1,435,1,435,1
"A bank account balance was 520. It increased by 80, and then decreased by 60. What is the final balance?",540,440,0,440,0,440,0
"A temperature reading was 55. It increased by 10, and then decreased by 5. What is the final temperature?",60,50,0,60,1,50,0
"A game score was 600. It decreased by 150, and then increased by 90. What is the final score?",540,540,1,540,1,540,1
"An elevation was 1320. It increased by 140, and then decreased by 200. What is the final elevation?",1260,960,0,960,0,960,0
"An inventory count was 890. It decreased by 120, and then increased by 95. What is the final count?",865,865,1,865,1,865,1
"A battery level was 45. It increased by 30, and then decreased by 10. What is the final level?",65,65,1,65,1,65,1
"A population count was 7600. It decreased by 500, and then increased by 200. What is the final population?",7300,7200,0,7200,0,7200,0
"A distance reading was 610. It increased by 75, and then decreased by 50. What is the final reading?",635,575,0,545,0,550,0
"A bank account balance was 340. It decreased by 60, and then decreased by 40. What is the final balance?",240,280,0,280,0,280,0
"A temperature reading was 85. It increased by 5, and then increased by 10. What is the final temperature?",100,90,0,90,0,90,0
"A game score was 275. It decreased by 25, and then increased by 40. What is the final score?",290,290,1,290,1,290,1
"An elevation was 1900. It decreased by 300, and then increased by 150. What is the final elevation?",1750,1750,1,1750,1,1750,1
"An inventory count was 660. It increased by 120, and then decreased by 80. What is the final count?",700,700,1,700,1,700,1
"A battery level was 70. It decreased by 15, and then decreased by 20. What is the final level?",35,35,1,55,0,35%,1
"A population count was 8800. It increased by 600, and then decreased by 450. What is the final population?",8950,6850,0,6850,0,6850,0
"A distance reading was 720. It decreased by 90, and then increased by 55. What is the final reading?",685,685,0,685,1,685,1
"A bank account balance was 410. It increased by 35, and then decreased by 25. What is the final balance?",420,440,0,405,0,420,1
"A temperature reading was 95. It decreased by 20, and then increased by 30. What is the final temperature?",105,105,1,105,1,105,1
,,,,,,,
Correct,,,68,,67,,72

Accuracy Rate,,,0.68,,0.67,,0.72
